大專校院各校科系別概況										
105 學年度 SY2016-2017		
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
0001	國立政治大學	320602	(數位)圖書資訊學系	N 職	M 碩士	58	0	6	30 臺北市	1 一般
0001	國立政治大學	320603	圖書資訊與檔案學研究所	D 日	D 博士	12	0	0	30 臺北市	1 一般
0001	國立政治大學	320603	圖書資訊與檔案學研究所	D 日	M 碩士	38	7	16	30 臺北市	1 一般
0001	國立政治大學	320802	廣告學系	D 日	M 碩士	19	0	6	30 臺北市	1 一般
0001	國立政治大學	320802	廣告學系	D 日	B 學士	129	9	45	30 臺北市	1 一般
0001	國立政治大學	329999	傳播學院(不分系)	D 日	D 博士	15	0	0	30 臺北市	1 一般
0001	國立政治大學	329999	傳播學院(不分系)	D 日	B 學士	424	16	0	30 臺北市	1 一般
0001	國立政治大學	329999	傳播學院(不分系)	N 職	M 碩士	60	0	19	30 臺北市	1 一般
0001	國立政治大學	340201	會計(與)(資訊)(科技)(系統)學系	D 日	D 博士	15	0	3	30 臺北市	1 一般
0001	國立政治大學	340201	會計(與)(資訊)(科技)(系統)學系	D 日	M 碩士	145	0	48	30 臺北市	1 一般
0001	國立政治大學	340201	會計(與)(資訊)(科技)(系統)學系	D 日	B 學士	448	20	103	30 臺北市	1 一般
0001	國立政治大學	340301	企業管理學系	D 日	D 博士	44	0	5	30 臺北市	1 一般
0001	國立政治大學	340301	企業管理學系	D 日	M 碩士	265	0	93	30 臺北市	1 一般
0001	國立政治大學	340301	企業管理學系	D 日	B 學士	442	24	107	30 臺北市	1 一般
0001	國立政治大學	340303	經營(與)管理(技術)學系	N 職	M 碩士	559	0	153	30 臺北市	1 一般
0001	國立政治大學	340310	國際(經營)(專業)管理學位學程(含IMBA)	D 日	M 碩士	119	1	56	30 臺北市	1 一般
0001	國立政治大學	340408	國際經營與貿易學系	D 日	D 博士	3	0	0	30 臺北市	1 一般
0001	國立政治大學	340408	國際經營與貿易學系	D 日	M 碩士	108	0	44	30 臺北市	1 一般
0001	國立政治大學	340408	國際經營與貿易學系	D 日	B 學士	348	24	81	30 臺北市	1 一般
0001	國立政治大學	340504	(應用)財務(金融)管理學系	D 日	D 博士	11	0	3	30 臺北市	1 一般
